Time_ms,add1,load1,nop1,udiv1
21006,3742.71391,3762.17475,3765.5005399996953,3575.692279999882
21007,3742.89067,3762.35151,3765.6804999996953,3575.859459999882
21008,3743.06526,3762.53147,3765.8582799996952,3576.030899999882
21009,3743.24415,3762.71036,3766.037129999695,3576.199139999882
21010,3743.41985,3762.89032,3766.216019999695,3576.370619999882
21011,3743.59755,3763.07028,3766.394959999695,3576.540009999882
21012,3743.7776,3763.24704,3766.570659999695,3576.708379999882
21013,3743.95445,3763.42385,3766.7495999996954,3576.878879999882
21014,3744.1313,3763.60279,3766.928579999695,3577.049249999882
21015,3744.31348,3763.7796,3767.106409999695,3577.218639999882
21016,3744.49242,3763.96067,3767.283169999695,3577.385899999882
21017,3744.66923,3764.1353,3767.4599299996944,3577.556359999882
21018,3744.84706,3764.31322,3767.642019999694,3577.7267799998817
21019,3745.02395,3764.4922,3767.824109999694,3577.898219999882
21020,3745.20284,3764.67118,3768.005219999694,3578.070849999882
21021,3745.38062,3764.84692,3768.185269999694,3578.237049999882
21022,3745.55628,3765.02581,3768.363189999694,3578.406439999882
21023,3745.73198,3765.20253,3768.5421299996938,3578.575829999882
21024,3745.90883,3765.37823,3768.7231499996938,3578.747309999882
21025,3746.08555,3765.55615,3768.9020899996935,3578.915679999882
21026,3746.26338,3765.73717,3769.0831099996935,3579.0849499998817
21027,3746.44329,3765.91824,3769.2609399996936,3579.2554099998815
21028,3746.62014,3766.09718,3769.4387699996937,3579.4226699998817
21029,3746.79806,3766.27616,3769.6187299996936,3579.5941899998816
21030,3746.97487,3766.45297,3769.7985599996937,3579.7635399998817
21031,3747.15061,3766.63293,3769.9784299996936,3579.9339599998816
21032,3747.32639,3766.81284,3770.157369999693,3580.1043299998814
21033,3747.50324,3766.99382,3770.337279999693,3580.2768299998816
21034,3747.68107,3767.17378,3770.514039999693,3580.4440099998815
21035,3747.85677,3767.35378,3770.689739999693,3580.6164699998812
21036,3748.03575,3767.52952,3770.867569999693,3580.786839999881
21037,3748.21473,3767.70952,3771.045349999693,3580.957259999881
21038,3748.39358,3767.88948,3771.224369999693,3581.125549999881
21039,3748.57252,3768.0674,3771.405439999693,3581.2948599998813
